,Sat_6_6,Sat_6_7,Sat_6_8,Sat_6_9,Sat_6_10,Sat_7_6,Sat_7_7,Sat_7_8,Sat_7_9,Sat_7_10,Sat_8_6,Sat_8_7,Sat_8_8,Sat_8_9,Sat_8_10
Sat_6_6,0.0,0.00960958582812032,0.0,0.0,0.0,0.005539225650831346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sat_6_7,0.009609585828120321,0.0,0.00960958582812033,0.0,0.0,0.0,0.007889800726076163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sat_6_8,0.0,0.00960958582812033,0.0,0.009609585828120326,0.0,0.0,0.0,0.008994728842464864,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sat_6_9,0.0,0.0,0.009609585828120328,0.0,0.00960958582812033,0.0,0.0,0.0,0.008620096847525774,0.0,0.0,0.0,0.0,0.0,0.0
Sat_6_10,0.0,0.0,0.0,0.00960958582812033,0.0,0.0,0.0,0.0,0.0,0.006842411054094307,0.0,0.0,0.0,0.0,0.0
Sat_7_6,0.0055392256508313455,0.0,0.0,0.0,0.0,0.0,0.009609585828120323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sat_7_7,0.0,0.007889800726076163,0.0,0.0,0.0,0.009609585828120323,0.0,0.00960958582812033,0.0,0.0,0.0068424110540943025,0.0,0.0,0.0,0.0
Sat_7_8,0.0,0.0,0.008994728842464862,0.0,0.0,0.0,0.00960958582812033,0.0,0.009609585828120328,0.0,0.0,0.008620096847525762,0.0,0.0,0.0
Sat_7_9,0.0,0.0,0.0,0.008620096847525776,0.0,0.0,0.0,0.009609585828120333,0.0,0.00960958582812032,0.0,0.0,0.008994728842464852,0.0,0.0
Sat_7_10,0.0,0.0,0.0,0.0,0.006842411054094307,0.0,0.0,0.0,0.009609585828120316,0.0,0.0,0.0,0.0,0.00788980072607616,0.0
Sat_8_6,0.0,0.0,0.0,0.0,0.0,0.0,0.0068424110540943025,0.0,0.0,0.0,0.0,0.009609585828120321,0.0,0.0,0.0
Sat_8_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008620096847525764,0.0,0.0,0.009609585828120321,0.0,0.00960958582812033,0.0,0.0
Sat_8_8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008994728842464852,0.0,0.0,0.009609585828120328,0.0,0.009609585828120328,0.0
Sat_8_9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007889800726076162,0.0,0.0,0.009609585828120328,0.0,0.009609585828120328
Sat_8_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009609585828120328,0.0
